"dist" "gap" "cnt" "max" "mean"
"orthoMCL0000" 37039.27802856 0 101 14 4.73873873873874
"orthoMCL0001" 8988.7591792444 40 54 63 3.83783783783784
"orthoMCL0002" 0 0 1 413 3.72072072072072
"orthoMCL0003" 34023.7160825685 1 97 12 3.63963963963964
"orthoMCL0004" 301.58039234396 15 12 197 3.5045045045045
"orthoMCL0005" 36229.3539076156 1 100 15 3.21621621621622
"orthoMCL0006" 36347.8083131151 1 100 10 3.06306306306306
"orthoMCL0007" 36618.1511078157 10 100 8 3.05405405405405
"orthoMCL0008" 29880.1000282761 5 91 17 2.97297297297297
"orthoMCL0009" 36229.3539076156 1 100 8 2.96396396396396
"orthoMCL0010" 31019.4063906479 2 93 12 2.92792792792793
"orthoMCL0011" 1649.50217507876 1 26 45 2.83783783783784
"orthoMCL0012" 9120.42366624129 15 53 57 2.63963963963964
"orthoMCL0013" 36347.8083131151 1 100 8 2.57657657657658
"orthoMCL0014" 36261.3686547507 1 100 10 2.5045045045045
"orthoMCL0015" 29125.5991055598 1 90 12 2.48648648648649
"orthoMCL0016" 225.89696852822 4 11 124 2.33333333333333
"orthoMCL0017" 30980.9705571817 1 93 8 2.30630630630631
"orthoMCL0018" 34976.0073359363 3 98 7 2.2972972972973
"orthoMCL0019" 35415.9864625831 2 99 10 2.26126126126126
"orthoMCL0020" 34921.3062208546 3 98 8 2.22522522522523
"orthoMCL0021" 28370.7650146017 7 89 22 2.14414414414414
"orthoMCL0022" 1127.48869815682 28 20 111 2.12612612612613
"orthoMCL0023" 35555.5891432186 2 99 8 2.11711711711712
"orthoMCL0024" 38144.5459131254 5 102 6 2.0990990990991
"orthoMCL0025" 34884.1261177739 3 98 10 2.07207207207207
"orthoMCL0026" 14446.4105614815 5 67 20 2.05405405405405
"orthoMCL0027" 35579.8563916461 2 99 7 2.05405405405405
"orthoMCL0028" 23619.4796335639 13 81 14 2.02702702702703
"orthoMCL0029" 2213.178107154 49 27 52 1.95495495495495
"orthoMCL0030" 36407.7460520749 1 100 8 1.9009009009009
"orthoMCL0031" 32637.5015621831 6 95 35 1.9009009009009
"orthoMCL0032" 14981.1117705965 26 68 64 1.89189189189189
"orthoMCL0033" 1293.36805787226 4 23 86 1.81981981981982
"orthoMCL0034" 28602.7200887262 9 89 8 1.79279279279279
"orthoMCL0035" 32493.0319311063 6 95 8 1.78378378378378
"orthoMCL0036" 33848.1131188563 0 97 5 1.73873873873874
"orthoMCL0037" 29398.163550145 7 90 6 1.72972972972973
"orthoMCL0038" 15886.689025821 2 70 8 1.71171171171171
"orthoMCL0039" 31798.764404848 2 94 13 1.69369369369369
"orthoMCL0040" 10289.2022297711 39 56 87 1.65765765765766
"orthoMCL0041" 3125.44640593927 32 32 44 1.64864864864865
"orthoMCL0042" 40684.5780090688 2 105 4 1.64864864864865
"orthoMCL0043" 32538.2442591081 6 95 6 1.63063063063063
"orthoMCL0044" 36250.5314352376 1 100 6 1.63063063063063
"orthoMCL0045" 29271.7093951628 6 90 6 1.62162162162162
"orthoMCL0046" 17105.2640181083 21 70 26 1.6036036036036
"orthoMCL0047" 33957.2106802497 4 97 5 1.56756756756757
"orthoMCL0048" 34271.9137537391 3 97 5 1.54054054054054
"orthoMCL0049" 30897.9180717347 3 93 4 1.5045045045045
"orthoMCL0050" 32059.1326724567 7 94 6 1.5045045045045
"orthoMCL0051" 35464.3768050733 2 99 5 1.4954954954955
"orthoMCL0052" 33254.5353686094 5 96 7 1.45945945945946
"orthoMCL0053" 1073.3704346806 6 21 66 1.45945945945946
"orthoMCL0054" 35555.2574369616 2 99 6 1.45045045045045
"orthoMCL0055" 34369.4186026291 4 97 4 1.42342342342342
"orthoMCL0056" 34856.6912069737 3 98 6 1.41441441441441
"orthoMCL0057" 27421.9626540203 10 87 11 1.3963963963964
"orthoMCL0058" 6138.73351992454 27 44 22 1.36936936936937
"orthoMCL0059" 30365.5616458846 10 91 6 1.36036036036036
"orthoMCL0060" 3497.94339772427 8 35 28 1.35135135135135
