"V1" "V2"
"orthoMCL0000" "1" "c_1"
"orthoMCL0001" "2" "c_2"
"orthoMCL0002" "3" "c_3"
"orthoMCL0003" "1" "c_1"
"orthoMCL0004" "3" "c_3"
"orthoMCL0005" "1" "c_1"
"orthoMCL0006" "1" "c_1"
"orthoMCL0007" "1" "c_1"
"orthoMCL0008" "1" "c_1"
"orthoMCL0009" "1" "c_1"
"orthoMCL0010" "1" "c_1"
"orthoMCL0011" "4" "c_4"
"orthoMCL0012" "2" "c_2"
"orthoMCL0013" "1" "c_1"
"orthoMCL0014" "1" "c_1"
"orthoMCL0015" "1" "c_1"
"orthoMCL0016" "3" "c_3"
"orthoMCL0017" "1" "c_1"
"orthoMCL0018" "1" "c_1"
"orthoMCL0019" "1" "c_1"
"orthoMCL0020" "1" "c_1"
"orthoMCL0021" "1" "c_1"
"orthoMCL0022" "4" "c_4"
"orthoMCL0023" "1" "c_1"
"orthoMCL0024" "1" "c_1"
"orthoMCL0025" "1" "c_1"
"orthoMCL0026" "2" "c_2"
"orthoMCL0027" "1" "c_1"
"orthoMCL0028" "1" "c_1"
"orthoMCL0029" "4" "c_4"
"orthoMCL0030" "1" "c_1"
"orthoMCL0031" "1" "c_1"
"orthoMCL0032" "2" "c_2"
"orthoMCL0033" "4" "c_4"
"orthoMCL0034" "1" "c_1"
"orthoMCL0035" "1" "c_1"
"orthoMCL0036" "1" "c_1"
"orthoMCL0037" "1" "c_1"
"orthoMCL0038" "2" "c_2"
"orthoMCL0039" "1" "c_1"
"orthoMCL0040" "2" "c_2"
"orthoMCL0041" "4" "c_4"
"orthoMCL0042" "1" "c_1"
"orthoMCL0043" "1" "c_1"
"orthoMCL0044" "1" "c_1"
"orthoMCL0045" "1" "c_1"
"orthoMCL0046" "2" "c_2"
"orthoMCL0047" "1" "c_1"
"orthoMCL0048" "1" "c_1"
"orthoMCL0049" "1" "c_1"
"orthoMCL0050" "1" "c_1"
"orthoMCL0051" "1" "c_1"
"orthoMCL0052" "1" "c_1"
"orthoMCL0053" "4" "c_4"
"orthoMCL0054" "1" "c_1"
"orthoMCL0055" "1" "c_1"
"orthoMCL0056" "1" "c_1"
"orthoMCL0057" "1" "c_1"
"orthoMCL0058" "4" "c_4"
"orthoMCL0059" "1" "c_1"
"orthoMCL0060" "4" "c_4"
"orthoMCL0061" "1" "c_1"
"orthoMCL0062" "4" "c_4"
"orthoMCL0063" "1" "c_1"
"orthoMCL0064" "2" "c_2"
"orthoMCL0065" "1" "c_1"
"orthoMCL0066" "1" "c_1"
"orthoMCL0067" "1" "c_1"
"orthoMCL0068" "1" "c_1"
"orthoMCL0069" "1" "c_1"
"orthoMCL0070" "1" "c_1"
"orthoMCL0071" "1" "c_1"
"orthoMCL0072" "4" "c_4"
"orthoMCL0073" "3" "c_3"
"orthoMCL0074" "1" "c_1"
"orthoMCL0075" "1" "c_1"
"orthoMCL0076" "2" "c_2"
"orthoMCL0077" "1" "c_1"
"orthoMCL0078" "1" "c_1"
"orthoMCL0079" "4" "c_4"
"orthoMCL0080" "1" "c_1"
"orthoMCL0081" "1" "c_1"
"orthoMCL0082" "4" "c_4"
"orthoMCL0083" "1" "c_1"
"orthoMCL0084" "2" "c_2"
"orthoMCL0085" "1" "c_1"
"orthoMCL0086" "1" "c_1"
"orthoMCL0087" "4" "c_4"
"orthoMCL0088" "1" "c_1"
"orthoMCL0089" "3" "c_3"
"orthoMCL0090" "1" "c_1"
"orthoMCL0091" "1" "c_1"
"orthoMCL0092" "1" "c_1"
"orthoMCL0093" "1" "c_1"
"orthoMCL0094" "1" "c_1"
"orthoMCL0095" "1" "c_1"
"orthoMCL0096" "1" "c_1"
"orthoMCL0097" "1" "c_1"
"orthoMCL0098" "1" "c_1"
"orthoMCL0099" "1" "c_1"
"orthoMCL0100" "1" "c_1"
"orthoMCL0101" "4" "c_4"
"orthoMCL0102" "1" "c_1"
"orthoMCL0103" "1" "c_1"
"orthoMCL0104" "1" "c_1"
"orthoMCL0105" "1" "c_1"
"orthoMCL0106" "1" "c_1"
"orthoMCL0107" "2" "c_2"
"orthoMCL0108" "2" "c_2"
"orthoMCL0109" "2" "c_2"
"orthoMCL0110" "1" "c_1"
"orthoMCL0111" "3" "c_3"
"orthoMCL0112" "4" "c_4"
"orthoMCL0113" "3" "c_3"
"orthoMCL0114" "1" "c_1"
"orthoMCL0115" "4" "c_4"
"orthoMCL0116" "1" "c_1"
"orthoMCL0117" "1" "c_1"
"orthoMCL0118" "1" "c_1"
"orthoMCL0119" "1" "c_1"
"orthoMCL0120" "1" "c_1"
"orthoMCL0121" "1" "c_1"
"orthoMCL0122" "3" "c_3"
"orthoMCL0123" "1" "c_1"
"orthoMCL0124" "2" "c_2"
"orthoMCL0125" "1" "c_1"
"orthoMCL0126" "1" "c_1"
