Species,k,mu,theta,lamda,L_bound,H_bound,Annotation,WGD_type,Included
Alyr1,4,0.095,0.086,0.131,0.000,0.289,SSD,SSD,NO
Alyr2,4,0.723,0.258,0.579,0.289,1.199,BRAalpha,KT,YES
Alyr3,4,2.038,0.720,0.227,1.199,2.970,BRABeta,OLD,NO
Alyr4,4,3.848,0.631,0.063,2.970,5.000,HighKS,HighKS,NO
Atha1,4,0.178,0.122,0.088,0.000,0.411,SSD,SSD,NO
Atha2,4,0.778,0.243,0.574,0.411,1.231,BRAalpha,KT,YES
Atha3,4,2.059,0.783,0.286,1.231,3.185,BRABeta,OLD,NO
Atha4,4,4.083,0.533,0.052,3.185,5.000,HighKS,HighKS,NO
Bdis1,4,0.182,0.108,0.144,0.000,0.400,SSD,SSD,NO
Bdis2,4,0.802,0.263,0.374,0.400,1.240,MON1,KT,YES
Bdis3,4,1.878,0.613,0.383,1.240,2.762,MON2,OLD,YES
Bdis4,4,3.688,0.671,0.100,2.762,5.000,HighKS,HighKS,NO
Brap1,3,0.331,0.082,0.513,0.000,0.479,REC,REC,YES
Brap2,3,0.701,0.340,0.334,0.479,1.292,BRAalpha,KT,YES
Brap3,3,2.220,1.025,0.153,1.292,5.000,BRABeta,OLD,NO
Cari1,4,0.047,0.039,0.118,0.000,0.155,SSD,SSD,NO
Cari2,4,0.735,0.316,0.543,0.155,1.273,LEG,KT,YES
Cari3,4,2.078,0.725,0.277,1.273,3.064,DIC,OLD,YES
Cari4,4,3.945,0.581,0.063,3.064,5.000,HighKS,HighKS,NO
Ccaj1,4,0.032,0.037,0.100,0.000,0.138,SSD,SSD,NO
Ccaj2,4,0.602,0.214,0.569,0.138,1.009,LEG,KT,YES
Ccaj3,4,1.789,0.679,0.279,1.009,2.794,DIC,OLD,YES
Ccaj4,4,3.746,0.617,0.052,2.794,5.000,HighKS,HighKS,NO
Clan1,3,0.2643,0.1755,0.2239,0.0000,0.6731,SSD,SSD,NO
Clan2,3,1.8231,0.7083,0.6317,0.6731,2.7961,DIC,OLD,YES
Clan3,3,3.7459,0.6738,0.1444,2.7961,5.0000,HighKS,HighKS,NO
Cmel1,3,0.2786,0.2019,0.1872,0.0000,0.7310,SSD,SSD,NO
Cmel2,3,1.9139,0.7743,0.6712,0.7310,2.9552,DIC,OLD,YES
Cmel3,3,3.8984,0.6355,0.1416,2.9552,5.0000,HighKS,HighKS,NO
Cpap1,3,0.249,0.202,0.306,0.000,0.765,SSD,SSD,NO
Cpap2,3,2.006,0.595,0.602,0.765,2.995,DIC,OLD,YES
Cpap3,3,3.897,0.517,0.092,2.995,5.000,HighKS,HighKS,NO
Crub1,4,0.124,0.075,0.070,0.000,0.308,SSD,SSD,NO
Crub2,4,0.814,0.273,0.593,0.308,1.289,BRAalpha,KT,YES
Crub3,4,2.039,0.724,0.263,1.289,3.027,BRABeta,OLD,NO
