species	group_ID1	group_ID2	group_ID3
Alyr	Bra	Brassicales	B
Atha	Bra	Brassicales	B
Bdis	Pooi	Poaceae	P
Brap	Bra	Brassicales	B
Cari	Fab	Rosids	R
Cpap	Bra	Brassicales	B
Crub	Bra	Brassicales	B
Csat	Fab	Rosids	R
Fves	Fab	Rosids	R
Gmax	Fab	Rosids	R
Grai	Malv	Grai	G
Hvul	Pooi	Poaceae	P
Lusi	Malp	Rosids	R
Macu	Malc	Malc	M
Mesc	Malp	Rosids	R
Mtru	Fab	Rosids	R
Osat	Pooi	Poaceae	P
Pper	Fab	Rosids	R
Ptri	Malp	Rosids	R
Rcom	Malp	Rosids	R
Sbic	Pani	Poaceae	P
Sita	Pani	Poaceae	P
Slyc	Ast	Asteroids	D
Stub	Ast	Asteroids	D
Tcac	Malv	Rosids	R
Vvin	Vvin	Rosids	R
Zmay	Pani	Poaceae	P
