plos_one_id	AGI	This_Study
At_F0267	AT1G30950	AthaFBX_00379
At_F0313	AT1G27340	AthaFBX_00203
At_F0125	AT3G18910	AthaFBX_00056
At_F0158	AT3G18980	AthaFBX_00109
At_F0234	AT4G24210	AthaFBX_00293
At_F0269	AT1G80110	AthaFBX_00363
At_F0297	AT5G48170	AthaFBX_00285
At_F0168	AT3G42770	AthaFBX_00303
At_F0430	AT4G19330	AthaFBX_00080
At_F0445	AT1G55270	AthaFBX_00434
At_F0474	AT5G57360	AthaFBX_00266
At_F0508	AT1G21410	AthaFBX_00250
At_F0542	AT2G18915	AthaFBX_00448
At_F0563	AT3G54650	AthaFBX_00376
At_F0585	AT1G68050	AthaFBX_00578
At_F0707	AT1G65740	AthaFBX_00720
At_F0354	AT2G44130	AthaFBX_00350
At_F0416	AT2G25490	AthaFBX_00332
At_F0442	AT5G25350	AthaFBX_00231
At_F0467	AT3G59940	AthaFBX_00613
At_F0505	AT4G08980	AthaFBX_00505
At_F0549	AT4G12810	AthaFBX_00456
At_F0564	AT1G80440	AthaFBX_00642
At_F0570	AT4G03190	AthaFBX_00626
At_F0586	AT3G62980	AthaFBX_00576
At_F0626	AT3G26810	AthaFBX_00557
At_F0628	AT1G12820	AthaFBX_00617
At_F0641	AT3G26000	AthaFBX_00637
At_F0662	AT5G49980	AthaFBX_00639
At_F0669	AT4G24390	AthaFBX_00649
At_F0705	AT2G39940	AthaFBX_00694
At_F0397	AT4G12560	AthaFBX_00490
At_F0500	AT1G23390	AthaFBX_00512
At_F0538	AT3G48880	AthaFBX_00467
At_F0646	AT1G56250	AthaFBX_00741
At_F0665	AT5G01720	AthaFBX_00706
At_F0674	AT1G61340	AthaFBX_00704
At_F0656	AT1G15670	AthaFBX_00730
At_F0676	AT2G42620	AthaFBX_00714
At_F0016	AT3G61590	AthaFBX_00038
At_F0039	AT3G07870	AthaFBX_00022
At_F0191	AT1G55660	AthaFBX_00288
At_F0211	AT5G45360	AthaFBX_00137
At_F0214	AT4G05460	AthaFBX_00132
At_F0220	AT5G42350	AthaFBX_00146
At_F0221	AT5G42360	AthaFBX_00149
At_F0225	AT3G50080	AthaFBX_00178
At_F0302	AT4G07400	AthaFBX_00199
At_F0304	AT5G67250	AthaFBX_00134
At_F0308	AT1G60370	AthaFBX_00298
At_F0323	AT5G56180	AthaFBX_00380
At_F0338	AT3G60350	AthaFBX_00481
At_F0057	AT3G17320	AthaFBX_00045
At_F0086	AT3G16740	AthaFBX_00127
At_F0247	AT2G31470	AthaFBX_00334
At_F0318	AT4G33210	AthaFBX_00424
At_F0001	AT1G21760	AthaFBX_00031
At_F0127	AT2G17310	AthaFBX_00126
At_F0210	AT3G47020	AthaFBX_00201
At_F0276	AT2G02360	AthaFBX_00321
At_F0418	AT5G21040	AthaFBX_00403
At_F0380	AT5G22720	AthaFBX_00545
At_F0421	AT3G06380	AthaFBX_00001
At_F0443	AT1G47056	AthaFBX_00409
At_F0451	AT2G44900	AthaFBX_00601
At_F0459	AT3G22650	AthaFBX_00497
At_F0471	AT4G15060	AthaFBX_00536
At_F0515	AT3G44326	AthaFBX_00397
At_F0516	AT1G77000	AthaFBX_00480
At_F0519	AT2G16365	AthaFBX_00427
At_F0529	AT4G15475	AthaFBX_00459
At_F0565	AT3G62440	AthaFBX_00621
At_F0569	AT4G02440	AthaFBX_00586
At_F0578	AT1G22220	AthaFBX_00590
At_F0583	AT1G78100	AthaFBX_00603
At_F0589	AT2G47900	AthaFBX_00189
At_F0610	AT2G17690	AthaFBX_00650
At_F0671	AT1G65770	AthaFBX_00702
At_F0679	AT3G27150	AthaFBX_00683
At_F0684	AT2G18280	AthaFBX_00399
At_F0695	AT3G20270	AthaFBX_00708
At_F0700	AT5G15440	AthaFBX_00722
